time_min,C_F_mM,C_Ca_mM,C_F_normalized,sorbed_F_umol_g
0.0,3.619334278547857e-06,0.1,1.7234925135942176e-05,3.388441561392028e-07
1.0,3.9809245116736835e-05,0.1,0.00018956783388922305,3.7272850860468026e-06
2.0,7.599291680380609e-05,0.1,0.00036187103239907663,7.115724867801171e-06
3.0,0.00011217035041538791,0.1,0.0005341445257875616,1.0504163501402697e-05
4.0,0.0001483415470269291,0.1,0.0007063883191758529,1.3892600986851768e-05
5.0,0.00018450650771369102,0.1,0.000878602417684243,1.728103732414877e-05
6.0,0.00022066523355074975,0.1,0.0010507868264321416,2.0669472513294095e-05
7.0,0.00025681772561299596,0.1,0.001222941550538076,2.4057906554288137e-05
8.0,0.00029296398497513496,0.1,0.0013950665951196904,2.744633944713128e-05
9.0,0.00032910401271168705,0.1,0.001567161965293748,3.0834771191823905e-05
10.0,0.0003652378098969868,0.1,0.0017392276661761278,3.422320178836641e-05
11.0,0.00040136537760518414,0.1,0.0019112637028818294,3.76116312367592e-05
12.0,0.0004374867169102433,0.1,0.002083270080524968,4.100005953700264e-05
13.0,0.0004736018288859436,0.1,0.002255246804218779,4.4388486689097114e-05
14.0,0.000509710714605879,0.1,0.0024271938790756146,4.777691269304304e-05
15.0,0.0005458133751434591,0.1,0.002599111310206948,5.116533754884078e-05
16.0,0.0005819098115719076,0.1,0.0027709991027233694,5.4553761256490744e-05
17.0,0.0006180000249642636,0.1,0.002942857261734589,5.7942183815993305e-05
18.0,0.0006540840163933813,0.1,0.003114685792349435,6.133060522734887e-05
19.0,0.0006901617869319295,0.1,0.0032864846996758547,6.471902549055779e-05
20.0,0.0007262333376523921,0.1,0.003458253988820915,6.810744460562051e-05
21.0,0.0007622986696270688,0.1,0.003629993664890804,7.149586257253738e-05
22.0,0.0007983577839280735,0.1,0.0038017037329908265,7.48842793913088e-05
23.0,0.000834410681627336,0.1,0.00397338419822541,7.827269506193517e-05
24.0,0.0008704573637966012,0.1,0.004145035065698101,8.166110958441685e-05
25.0,0.0009064978315074286,0.1,0.0043166563405115654,8.504952295875424e-05
26.0,0.0009425320858311941,0.1,0.004488248027767591,8.843793518494774e-05
27.0,0.0009785601278390877,0.1,0.004659810132567084,9.182634626299775e-05
28.0,0.0010145819586021153,0.1,0.004831342660010073,9.521475619290461e-05
29.0,0.0010505975791910982,0.1,0.0050028456151957066,9.860316497466876e-05
30.0,0.001086606990676673,0.1,0.005174319003222253,0.00010199157260829057
31.0,0.0011226101941292914,0.1,0.005345762829187103,0.00010537997909377044
32.0,0.0011586071906192214,0.1,0.005517177098186769,0.00010876838443110873
33.0,0.0011945979812165459,0.1,0.005688561815316885,0.00011215678862030583
34.0,0.001230582566991163,0.1,0.005859916985672205,0.00011554519166136217
35.0,0.0012665609490127869,0.1,0.006031242614346604,0.00011893359355427816
36.0,0.001302533128350947,0.1,0.006202538706433082,0.0001223219942990541
37.0,0.0013384991060749886,0.1,0.006373805267023755,0.00012571039389569047
38.0,0.0013744588832540728,0.1,0.006545042301209871,0.0001290987923441876
39.0,0.0014104124609571763,0.1,0.006716249814081792,0.00013248718964454587
40.0,0.0014463598402530906,0.1,0.006887427810729003,0.0001358755857967657
41.0,0.0014823010222104246,0.1,0.007058576296240118,0.00013926398080084745
42.0,0.0015182360078976013,0.1,0.007229695275702864,0.00014265237465679154
43.0,0.001554164798382861,0.1,0.0074007847542041,0.00014604076736459833
44.0,0.0015900873947342577,0.1,0.0075718447368298,0.00014942915892426824
45.0,0.0016260037980196636,0.1,0.007742875228665066,0.00015281754933580164
46.0,0.001661914009306766,0.1,0.007913876234794125,0.00015620593859919893
47.0,0.0016978180296630683,0.1,0.008084847760300325,0.0001595943267144605
48.0,0.0017337158601558888,0.1,0.008255789810266138,0.00016298271368158675
49.0,0.0017696075018523625,0.1,0.008426702389773156,0.00016637109950057803
50.0,0.0018054929558194409,0.1,0.0085975855039021,0.00016975948417143478
51.0,0.0018413722231238909,0.1,0.008768439157732814,0.00017314786769415734
52.0,0.0018772453048322957,0.1,0.008939263356344266,0.00017653625006874612
53.0,0.0019131122020110546,0.1,0.009110058104814547,0.00017992463129520148
54.0,0.0019489729157263832,0.1,0.009280823408220874,0.00018331301137352384
55.0,0.0019848274470443137,0.1,0.00945155927163959,0.00018670139030371364
56.0,0.0020206757970306927,0.1,0.009622265700146158,0.00019008976808577115
57.0,0.002056517966751187,0.1,0.009792942698815177,0.00019347814471969683
58.0,0.0020923539572712735,0.1,0.009963590272720351,0.0001968665202054911
59.0,0.0021281837696562507,0.1,0.010134208426934528,0.0002002548945431543
60.0,0.0021640074049712327,0.1,0.01030479716652968,0.00020364326773268684
61.0,0.002199824864281147,0.1,0.010475356496576892,0.00020703163977408908
62.0,0.0022356361486507406,0.1,0.010645886422146386,0.00021042001066736145
63.0,0.0022714412591445746,0.1,0.0108163869483075,0.0002138083804125043
64.0,0.0023072401968270285,0.1,0.010986858080128708,0.00021719674900951802
65.0,0.0023430329627622975,0.1,0.011157299822677609,0.00022058511645840306
66.0,0.0023788195580143946,0.1,0.011327712181020928,0.00022397348275915977
67.0,0.002414599983647146,0.1,0.011498095160224505,0.00022736184791178853
68.0,0.0024503742407241983,0.1,0.011668448765353327,0.00023075021191628974
69.0,0.0024861423303090113,0.1,0.011838773001471485,0.00023413857477266376
70.0,0.002521904253464865,0.1,0.012009067873642216,0.00023752693648091113
71.0,0.0025576600112548545,0.1,0.01217933338692788,0.00024091529704103198
72.0,0.0025934096047418903,0.1,0.012349569546389955,0.00024430365645302683
73.0,0.002629153034988701,0.1,0.012519776357089054,0.0002476920147168961
74.0,0.002664890303057832,0.1,0.012689953824084914,0.0002510803718326401
75.0,0.002700621410011645,0.1,0.012860101952436406,0.0002544687278002593
76.0,0.0027363463569123193,0.1,0.013030220747201521,0.00025785708261975404
77.0,0.002772065144821849,0.1,0.013200310213437379,0.00026124543629112477
78.0,0.00280777777480205,0.1,0.013370370356200237,0.00026463378881437174
79.0,0.0028434842479145494,0.1,0.013540401180545475,0.0002680221401894955
80.0,0.0028791845652207946,0.1,0.013710402691527594,0.00027141049041649634
81.0,0.002914878727782048,0.1,0.01388037489420023,0.0002747988394953747
82.0,0.002950566736659392,0.1,0.014050317793616152,0.000278187187426131
83.0,0.0029862485929137233,0.1,0.014220231394827254,0.00028157553420876577
84.0,0.003021924297605756,0.1,0.014390115702884555,0.00028496387984327897
85.0,0.0030575938517960243,0.1,0.014559970722838211,0.0002883522243296713
86.0,0.0030932572565448746,0.1,0.0147297964597375,0.000291740567667943
87.0,0.0031289145129124746,0.1,0.014899592918630833,0.0002951289098580946
88.0,0.0031645656219588076,0.1,0.015069360104565752,0.00029851725090012635
89.0,0.003200210584743674,0.1,0.015239098022588925,0.00030190559079403874
90.0,0.0032358494023266918,0.1,0.015408806677746153,0.00030529392953983214
91.0,0.003271482075767297,0.1,0.015578486075082368,0.00030868226713750695
92.0,0.003307108606124742,0.1,0.01574813621964163,0.00031207060358706353
93.0,0.0033427289944580967,0.1,0.01591775711646713,0.00031545893888850233
94.0,0.003378343241826249,0.1,0.016087348770601185,0.0003188472730418236
95.0,0.003413951349287904,0.1,0.01625691118708526,0.00032223560604702786
96.0,0.0034495533179015833,0.1,0.01642644437095992,0.00032562393790411547
97.0,0.003485149148725627,0.1,0.01659594832726489,0.00032901226861308696
98.0,0.003520738842818194,0.1,0.016765423061039023,0.0003324005981739424
99.0,0.0035563224012372576,0.1,0.016934868577320277,0.00033578892658668233
100.0,0.003591899825040611,0.1,0.01710428488114577,0.00033917725385130713
101.0,0.0036274711152858652,0.1,0.01727367197755174,0.00034256557996781723
102.0,0.0036630362730304465,0.1,0.01744302987157356,0.000345953904936213
103.0,0.0036985952993316023,0.1,0.017612358568245726,0.0003493422287564949
104.0,0.003734148195246395,0.1,0.01778165807260188,0.00035273055142866314
105.0,0.003769694961831707,0.1,0.017950928389674794,0.0003561188729527183
106.0,0.0038052356001442348,0.1,0.018120169524496358,0.0003595071933286606
107.0,0.0038407701112404967,0.1,0.018289381482097605,0.0003628955125564906
108.0,0.0038762984961768286,0.1,0.01845856426750871,0.00036628383063620854
109.0,0.003911820756009382,0.1,0.01862771788575896,0.0003696721475678151
110.0,0.0039473368917941265,0.1,0.018796842341876795,0.00037306046335131043
111.0,0.003982846904586851,0.1,0.018965937640889767,0.0003764487779866948
112.0,0.004018350795443161,0.1,0.01913500378782458,0.00037983709147396865
113.0,0.004053848565418484,0.1,0.019304040787707068,0.00038322540381313257
114.0,0.004089340215568061,0.1,0.019473048645562197,0.0003866137150041867
115.0,0.00412482574694695,0.1,0.019642027366414048,0.00039000202504713166
116.0,0.004160305160610032,0.1,0.01981097695528587,0.0003933903339419677
117.0,0.004195778457612003,0.1,0.019979897417200018,0.0003967786416886952
118.0,0.004231245639007379,0.1,0.020148788757177995,0.0004001669482873146
119.0,0.004266706705850491,0.1,0.020317650980240437,0.0004035552537378263
120.0,0.004302161659195493,0.1,0.02048648409140711,0.0004069435580402307
121.0,0.004337610500096352,0.1,0.020655288095696916,0.0004103318611945282
122.0,0.004373053229606857,0.1,0.020824062998127894,0.0004137201632007191
123.0,0.004408489848780615,0.1,0.020992808803717216,0.00041710846405880404
124.0,0.004443920358671051,0.1,0.021161525517481197,0.000420496763768783
125.0,0.004479344760331406,0.1,0.02133021314443527,0.00042388506233065657
126.0,0.004514763054814743,0.1,0.021498871689594017,0.00042727335974442515
127.0,0.00455017524317394,0.1,0.021667501157971145,0.0004306616560100892
128.0,0.004585581326461697,0.1,0.021836101554579514,0.00043404995112764896
129.0,0.004620981305730531,0.1,0.0220046728844311,0.00043743824509710495
130.0,0.004656375182032778,0.1,0.022173215152537038,0.00044082653791845746
131.0,0.004691762956420591,0.1,0.022341728363907576,0.0004442148295917069
132.0,0.00472714462994594,0.1,0.0225102125235521,0.0004476031201168538
133.0,0.004762520203660621,0.1,0.022678667636479147,0.00045099140949389835
134.0,0.00479788967861624,0.1,0.022847093707696386,0.000454379697722841
135.0,0.004833253055864229,0.1,0.023015490742210615,0.00045776798480368216
136.0,0.004868610336455832,0.1,0.023183858745027774,0.00046115627073642227
137.0,0.004903961521442118,0.1,0.023352197721152945,0.0004645445555210616
138.0,0.004939306611873969,0.1,0.023520507675590333,0.0004679328391576007
139.0,0.00497464560880209,0.1,0.023688788613343288,0.0004713211216460398
140.0,0.005009978513277003,0.1,0.023857040539414304,0.00047470940298637937
141.0,0.005045305326349051,0.1,0.024025263458805006,0.0004780976831786199
142.0,0.005080626049068395,0.1,0.024193457376516167,0.0004814859622227615
143.0,0.005115940682485012,0.1,0.02436162229754768,0.0004848742401188048
144.0,0.005151249227648703,0.1,0.024529758226898585,0.00048826251686675013
145.0,0.005186551685609084,0.1,0.024697865169567065,0.0004916507924665978
146.0,0.005221848057415589,0.1,0.024865943130550426,0.0004950390669183482
147.0,0.005257138344117475,0.1,0.025033992114845117,0.0004984273402220019
148.0,0.00529242254676382,0.1,0.02520201212744676,0.000501815612377559
149.0,0.005327700666403512,0.1,0.02537000317335006,0.0005052038833850206
150.0,0.005362972704085266,0.1,0.025537965257548888,0.0005085921532443863
151.0,0.0053982386608576165,0.1,0.025705898385036275,0.0005119804219556565
152.0,0.005433498537768914,0.1,0.025873802560804352,0.0005153686895188319
153.0,0.005468752335867327,0.1,0.026041677789844418,0.0005187569559339129
154.0,0.005504000056200848,0.1,0.026209524077146898,0.0005221452212008996
155.0,0.005539241699817283,0.1,0.026377341427701352,0.0005255334853197925
156.0,0.005574477267764262,0.1,0.026545129846496488,0.0005289217482905924
157.0,0.005609706761089235,0.1,0.02671288933852017,0.0005323100101132992
158.0,0.005644930180839466,0.1,0.026880619908759364,0.0005356982707879135
159.0,0.005680147528062045,0.1,0.027048321562200217,0.0005390865303144356
160.0,0.005715358803803875,0.1,0.02721599430382798,0.000542474788692866
161.0,0.005750564009111684,0.1,0.02738363813862707,0.0005458630459232051
162.0,0.005785763145032018,0.1,0.02755125307158104,0.0005492513020054529
163.0,0.005820956212611241,0.1,0.027718839107672578,0.0005526395569396102
164.0,0.005856143212895537,0.1,0.027886396251883515,0.0005560278107256773
165.0,0.00589132414693091,0.1,0.028053924509194812,0.0005594160633636547
166.0,0.005926499015763183,0.1,0.028221423884586587,0.0005628043148535426
167.0,0.005961667820438003,0.1,0.02838889438303811,0.0005661925651953417
168.0,0.00599683056200083,0.1,0.028556336009527766,0.0005695808143890518
169.0,0.006031987241496949,0.1,0.02872374876903309,0.0005729690624346739
170.0,0.0060671378599714615,0.1,0.02889113266653077,0.0005763573093322081
171.0,0.006102282418469291,0.1,0.02905848770699663,0.0005797455550816547
172.0,0.006137420918035179,0.1,0.02922581389540562,0.000583133799683014
173.0,0.00617255335971369,0.1,0.029393111236731863,0.0005865220431362869
174.0,0.006207679744549205,0.1,0.0295603797359486,0.0005899102854414733
175.0,0.006242800073585927,0.1,0.029727619398028225,0.000593298526598574
176.0,0.006277914347867875,0.1,0.029894830227942266,0.0005966867666075894
177.0,0.006313022568438894,0.1,0.030062012230661402,0.0006000750054685195
178.0,0.006348124736342646,0.1,0.03022916541115546,0.0006034632431813645
179.0,0.006383220852622614,0.1,0.030396289774393404,0.0006068514797461253
180.0,0.0064183109183221,0.1,0.030563385325343334,0.000610239715162802
181.0,0.0064533949344842256,0.1,0.030730452068972503,0.0006136279494313952
182.0,0.006488472902151934,0.1,0.030897490010247306,0.0006170161825519051
183.0,0.006523544822367989,0.1,0.03106449915413328,0.0006204044145243322
184.0,0.006558610696174971,0.1,0.031231479505595107,0.0006237926453486769
185.0,0.006593670524615289,0.1,0.03139843106959662,0.0006271808750249396
186.0,0.006628724308731163,0.1,0.03156535385110078,0.0006305691035531207
187.0,0.006663772049564636,0.1,0.0317322478550697,0.0006339573309332204
188.0,0.006698813748157575,0.1,0.03189911308646465,0.0006373455571652393
189.0,0.006733849405551663,0.1,0.03206594955024601,0.0006407337822491776
190.0,0.006768879022788406,0.1,0.03223275725137336,0.000644122006185036
191.0,0.006803902600909128,0.1,0.03239953619480537,0.0006475102289728146
192.0,0.006838920140954979,0.1,0.0325662863854999,0.0006508984506125137
193.0,0.006873931643966921,0.1,0.032733007828413915,0.0006542866711041341
194.0,0.006908937110985746,0.1,0.03289970052850356,0.0006576748904476759
195.0,0.006943936543052057,0.1,0.03306636449072408,0.0006610631086431396
196.0,0.006978929941206286,0.1,0.03323299972002994,0.0006644513256905254
197.0,0.00701391730648868,0.1,0.03339960622137467,0.0006678395415898339
198.0,0.007048898639939308,0.1,0.033566183999710994,0.0006712277563410653
199.0,0.007083873942598062,0.1,0.03373273305999077,0.0006746159699442204
200.0,0.007118843215504651,0.1,0.03389925340716501,0.0006780041823992992
201.0,0.0071538064596986094,0.1,0.03406574504618386,0.000681392393706302
202.0,0.00718876367621929,0.1,0.034232207981996624,0.0006847806038652296
203.0,0.007223714866105862,0.1,0.03439864221955173,0.0006881688128760822
204.0,0.007258660030397324,0.1,0.034565047763796784,0.0006915570207388597
205.0,0.007293599170132488,0.1,0.03473142461967852,0.0006949452274535633
206.0,0.007328532286349993,0.1,0.034897772792142824,0.000698333433020193
207.0,0.007363459380088294,0.1,0.03506409228613474,0.0007017216374387492
208.0,0.007398380452385669,0.1,0.03523038310659843,0.0007051098407092324
209.0,0.007433295504280219,0.1,0.03539664525847723,0.0007084980428316428
210.0,0.00746820453680986,0.1,0.03556287874671362,0.0007118862438059808
211.0,0.007503107551012335,0.1,0.03572908357624922,0.0007152744436322472
212.0,0.007538004547925206,0.1,0.035895259752024795,0.0007186626423104418
213.0,0.007572895528585858,0.1,0.03606140727898028,0.0007220508398405654
214.0,0.007607780494031493,0.1,0.036227526162054734,0.0007254390362226181
215.0,0.007642659445299141,0.1,0.03639361640618639,0.0007288272314566004
